"Rank","Mark","WIND","Competitor","DOB","Nat","Pos","Venue","Date","Results.Score","year"
"3218","10.34","+0.2","Floyd BROWN","08 SEP 1957","JAM","4h7","Ciudad de México (MEX)","08 SEP 1979","1092","1979"
"3156","10.1h","","Vladimir BRONNIKOV","05 APR 1958","URS","1","Odessa (URS)","08 SEP 1979","1092","1979"
"3156","10.1h","","Jumane CHOBANGA","","TAN","1","Songea (TAN)","28 OCT 1979","1092","1979"
"3156","10.1h","+0.8","João Carlos DE OLIVEIRA","28 MAY 1954","BRA","2","São Paulo (BRA)","24 MAY 1980","1092","1980"
"3221","10.34","+1.2","Kevin NANCE","07 DEC 1953","USA","2h4","Walnut, CA (USA)","13 JUN 1980","1092","1980"
"3157","10.1h","","Viktor FYODOROV","05 AUG 1955","URS","1h","Omsk (URS)","27 JUN 1980","1092","1980"
"3157","10.1h","","Clyde BISHOP","29 MAY 1962","USA","1sf","Houston, TX (USA)","20 MAR 1981","1092","1981"
"3157","10.1h","","Terron WRIGHT","28 JUN 1958","USA","1","Houston, TX (USA)","21 MAR 1981","1092","1981"
"3224","10.34","+0.2","Ted BOYD","11 APR 1961","USA","2","Tallahassee, FL (USA)","18 APR 1981","1092","1981"
"3224","10.34","+1.4","Ben MCLEOD","13 FEB 1960","USA","1h3","Murray, KY (USA)","25 APR 1981","1092","1981"
"3224","10.34","","Albert LAWRENCE","26 APR 1961","JAM","2","Brownwood, TX (USA)","28 APR 1981","1092","1981"
"3160","10.1h","","Anatoliy LITVINOV","19 FEB 1959","URS","1","Sochi (URS)","30 MAY 1981","1092","1981"
"3225","10.34","0.0","Luis Alberto SCHNEIDER","21 NOV 1959","CHI","3h2","Ciudad Bolívar (VEN)","14 AUG 1981","1092","1981"
"3225","10.34","+1.3","Peter GANDY","02 SEP 1961","AUS","3","Adelaide (AUS)","11 JAN 1982","1092","1982"
"3162","10.1h","","Sergey AVEROCHKIN","1956","URS","1","Kazan (URS)","05 JUN 1982","1092","1982"
"3162","10.1h","","Aleksandr ZOLOTARYOV","11 APR 1957","URS","1","Irkutsk (URS)","22 AUG 1982","1092","1982"
"3162","10.1h","","Vladimir DMITRIYEV","1955","URS","1h1","Togliatti (URS)","28 AUG 1982","1092","1982"
"3228","10.34","+1.0","Steven HALL","20 FEB 1963","USA","2","San Angelo, TX (USA)","20 MAY 1983","1092","1983"
"3163","10.1h","","Ronalds RAZMUSS","07 FEB 1960","URS","1","Staiki (BLR)","28 MAY 1983","1092","1983"
"3229","10.34","+1.9","Hartmut RÖHL","08 JUL 1961","GDR","3h3","Berlin (GER)","08 JUN 1983","1092","1983"
"3164","10.1h","","Tomas GONZÁLEZ","11 JUN 1959","CUB","2","La Habana (CUB)","10 JUN 1983","1092","1983"
"3230","10.34","+1.8","Drew MCMASTER","10 MAY 1957","GBR","1","Antrim (GBR)","09 JUL 1983","1092","1983"
"3165","10.1h","+1.9","Yuriy PISKUNOV","1960","URS","1","Riga (LAT)","06 AUG 1983","1092","1983"
"3165","10.1h","","Sergey IVANNIKOV","1959","URS","1","Dnepropetrovsk (URS)","24 SEP 1983","1092","1983"
"3165","10.1h","","Gennadiy BUGAYEV","22 JUN 1960","URS","2","Dnepropetrovsk (URS)","24 SEP 1983","1092","1983"
"3165","10.1h","","Oumar FYE","13 SEP 1960","GAM","1","Banjul (GAM)","04 MAR 1984","1092","1984"
"3165","10.1h","","Peter VAN MILTENBURG","16 AUG 1957","AUS","1","Melbourne (AUS)","10 MAR 1984","1092","1984"
"3235","10.34","+1.8","Augustin YOUNG","19 SEP 1961","JAM","1","Chapel Hill, NC (USA)","21 APR 1984","1092","1984"
"3235","10.34","","Larnell THOMAS","28 FEB 1964","USA","2","Pasadena, CA (USA)","27 APR 1984","1092","1984"
"3167","10.1h","+1.5","Nat JOHNSON","25 OCT 1963","USA","1","Baton Rouge, LA (USA)","05 MAY 1984","1092","1984"
"3167","10.1h","+1.5","Frank BOOKER","26 SEP 1960","USA","2","Baton Rouge, LA (USA)","05 MAY 1984","1092","1984"
"3167","10.1h","","Moses ADEBANJI","06 DEC 1956","NGR","1","Ames, IA (USA)","05 MAY 1984","1092","1984"
"3167","10.1h","","Mikhail KULIKOV","23 JAN 1961","URS","1","Leningrad (URS)","09 JUN 1984","1092","1984"
"3167","10.1h","","Aleksey ZASYPKIN","15 APR 1959","URS","2","Leningrad (URS)","09 JUN 1984","1092","1984"
"3240","10.34","+1.1","Mikhail URYADNIKOV","23 OCT 1959","URS","2qf2","Kiev (URS)","20 JUN 1984","1092","1984"
"3168","10.1h","","Aleksandr RYZHKOV","1956","URS","1","Komsomolsk (URS)","14 JUL 1984","1092","1984"
"3241","10.34","+0.7","Mladen NIKOLIĆ","01 MAY 1959","YUG","1","Athina (GRE)","07 SEP 1984","1092","1984"
"3169","10.1h","","Antonio ULLO","07 JAN 1963","ITA","1","Atalanta (ITA)","14 OCT 1984","1092","1984"
"3169","10.1h","","Faraj Saad MARZOUK","1961","QAT","2","Alexandria (EGY)","14 OCT 1984","1092","1984"
"3169","10.1h","","Jamal SULAIMAN","1964","QAT","3","Alexandria (EGY)","14 OCT 1984","1092","1984"
"3169","10.1h","","John DINAN","18 NOV 1959","AUS","1h1","Melbourne (AUS)","19 MAR 1985","1092","1985"
"3169","10.1h","","Patrick OVERSHOWN","23 OCT 1966","USA","1f2","Houston, TX (USA)","22 MAR 1985","1092","1985"
"3169","10.1h","","Marvin BROWN","","USA","1","Pomona, CA (USA)","23 MAR 1985","1092","1985"
"3247","10.34","+1.6","John SIMPSON","24 FEB 1966","USA","3","Waco, TX (USA)","20 APR 1985","1092","1985"
"3247","10.34","+1.0","Gerald WHITE","21 MAY 1963","USA","2f1","Walnut, CA (USA)","27 APR 1985","1092","1985"
"3247","10.34","+0.4","Don YOUNG","31 MAR 1964","USA","1h1","Bakersfield, CA (USA)","04 MAY 1985","1092","1985"
"3247","10.34","+1.7","Carlo SIMIONATO","07 JAN 1961","ITA","1","Ravenna (ITA)","03 JUL 1985","1092","1985"
"3173","10.1h","+1.4","Viktor PANOV","23 JUN 1960","URS","1","Kharkov (URS)","10 AUG 1985","1092","1985"
"3173","10.1h","+1.2","Sergey YATSYSHIN","01 JAN 1962","URS","2","Odessa (URS)","04 SEP 1985","1092","1985"
"3173","10.1h","","Fernando RAMSEY","20 DEC 1965","PAN","1","Albuquerque, NM (USA)","01 MAR 1986","1092","1986"
"3173","10.1h","","Gerardo SUERO","24 AUG 1957","DOM","1","Santo Domingo (DOM)","26 APR 1986","1092","1986"
"3251","10.34","","Dave SMITH","15 OCT 1960","JAM","3","Kingston (JAM)","03 MAY 1986","1092","1986"
"3251","10.34","+0.8","Piotr WASZEK","26 JUN 1960","POL","1","Słupsk (POL)","07 JUN 1986","1092","1986"
"3175","10.1h","","Igor ZHAYVORONOK","1962","URS","1","Omsk (URS)","13 JUN 1986","1092","1986"
"3175","10.1h","","Viktor KHRISHCHUK","19 JUL 1958","URS","2","Omsk (URS)","13 JUN 1986","1092","1986"
"3253","10.34","+1.7","Chris PERRY","21 FEB 1959","AUS","4","London (GBR)","20 JUN 1986","1092","1986"
"3176","10.1h","+1.8","Albert SALIMOV","1962","URS","1","Novosibirsk (URS)","28 JUN 1986","1092","1986"
"3176","10.1h","+1.8","Aleksandr SHISHOV","04 APR 1959","URS","1","Novosibirsk (URS)","28 JUN 1986","1092","1986"
"3176","10.1h","","Geldy REDZHEPOV","26 SEP 1962","URS","1","Lipetsk (URS)","18 JUL 1986","1092","1986"
"3256","10.34","+0.6","Rod WOODSON","10 MAR 1965","USA","6","Westwood, CA (USA)","16 MAY 1987","1092","1987"
"3256","10.34","+0.2","Hirohisa OTA","21 DEC 1965","JPN","1","Suita (JPN)","06 JUN 1987","1092","1987"
"3256","10.34","+0.9","Ron MCCREE","21 MAR 1968","USA","2h1","Tucson, AZ (USA)","19 JUN 1987","1092","1987"
"3179","10.1h","+1.8","Takayuki NAKAMICHI","17 APR 1969","JPN","1","Ise (JPN)","12 JUL 1987","1092","1987"
"3257","10.34","+0.8","Mustapha Kamel SELMI","03 JUL 1965","ALG","1sf3","Nairobi (KEN)","08 AUG 1987","1092","1987"
"3257","10.34","","Ronnell BARCLAY","25 OCT 1966","TTO","1","Houston, TX (USA)","19 MAR 1988","1092","1988"
"3257","10.34","","Tarrell CARPENTER","10 JUL 1967","USA","1","Raleigh, NC (USA)","01 APR 1988","1092","1988"
"3257","10.34","+0.8","Sammie SMITH","16 MAY 1967","USA","2","Tallahassee, FL (USA)","23 APR 1988","1092","1988"
"3183","10.1h","","Aleksandr STAROVOYTOV","31 AUG 1963","URS","1","Staiki (BLR)","07 MAY 1988","1092","1988"
"3258","10.34","","Art CASWELL","17 SEP 1968","USA","1h4","Odessa, TX (USA)","19 MAY 1988","1092","1988"
"3184","10.1h","+1.9","Kenji YAMAUCHI","10 AUG 1964","JPN","1","Mito (JPN)","29 MAY 1988","1092","1988"
"3259","10.34","+0.8","Sergey KUDRYAVTSEV","07 MAY 1966","URS","1","Leningrad (URS)","18 JUN 1988","1092","1988"
"3185","10.1h","","Eimantas SKRABULIS","25 MAY 1965","URS","1","Kaunas (LTU)","18 JUN 1988","1092","1988"
"3185","10.1h","","Sergey KHILKO","1963","URS","1","Orenburg (URS)","18 JUN 1988","1092","1988"
"3261","10.34","+1.3","Barrington WILLIAMS","11 SEP 1955","GBR","3","Birmingham (GBR)","05 AUG 1988","1092","1988"
"3261","10.34","+1.6","Michele LAZAZZERA","24 JAN 1968","ITA","1f3","Sestriere (ITA)","11 AUG 1988","1092","1988"
"3261","10.34","+1.1","Dwight FRAZIER","28 MAR 1967","USA","3","Athens, GA (USA)","19 MAR 1989","1092","1989"
"3188","10.1h","","Aleksandr SHUMILOV","1961","URS","1h","Krasnodar (URS)","04 MAY 1989","1092","1989"
"3262","10.34","","Jianming CAI","01 AUG 1963","CHN","1","Hefei (CHN)","26 MAY 1989","1092","1989"
"3189","10.1h","","Yussuf ALLI","28 JUL 1960","NGR","3h1","Bauchi (NGR)","03 JAN 1990","1092","1990"
"3189","10.1h","","Tafaru SALU","","NGR","4h1","Bauchi (NGR)","03 JAN 1990","1092","1990"
"3264","10.34","","Lee MILES","18 JUL 1969","USA","1","San Antonio, TX (USA)","17 MAR 1990","1092","1990"
"3264","10.34","+1.7","Derrick LOVE","23 DEC 1970","USA","1f1","Claremont, CA (USA)","17 MAR 1990","1092","1990"
"3264","10.34","+1.8","Oliver DANIELS","19 JAN 1964","LBR","1f2","Claremont, CA (USA)","17 MAR 1990","1092","1990"
"3192","10.1h","","Greg HATCHETT","03 JUL 1968","USA","1","Boone, NC (USA)","28 APR 1990","1092","1990"
"3192","10.1h","","Kevin CALDWELL","23 FEB 1969","USA","1","Albuquerque, NM (USA)","05 MAY 1990","1092","1990"
"3266","10.34","-1.9","Aleksandr GROMYKO","04 MAY 1967","URS","1","Moskva (URS)","25 AUG 1990","1103","1990"
"3266","10.34","+1.2","Fernando Rodolfo BOTASSO","21 FEB 1970","BRA","2","Manaus (BRA)","16 SEP 1990","1092","1990"
"3266","10.34","+0.8","Horace DOVE-EDWIN","10 FEB 1967","SLE","1f1","Modesto, CA (USA)","11 MAY 1991","1092","1991"
"3266","10.34","+0.2","James BULLOCK","22 OCT 1968","USA","1","Tempe, AZ (USA)","19 MAY 1991","1092","1991"
"3266","10.34","+0.2","Aleksandr NADUDA","13 MAY 1961","URS","2","Kiev (URS)","19 JUN 1991","1092","1991"
"3266","10.34","+0.8","Thomas RENNER","24 DEC 1967","AUT","7","Linz (AUT)","05 JUL 1991","1092","1991"
"3198","10.1h","+0.6","Vilmantas PIPIRAS","12 APR 1972","URS","2","Vilnius (LTU)","01 AUG 1991","1092","1991"
"3267","10.34","","Tyrance WESLEY","14 OCT 1971","USA","1","Fort Collins, CO (USA)","28 MAR 1992","1092","1992"
"3267","10.34","+1.7","Ed WILLIAMS","12 JUL 1969","USA","","Fayetteville, AR (USA)","04 APR 1992","1092","1992"
"3267","10.34","+1.3","Ron HANCOCK","01 JUL 1969","USA","3","Arlington, TX (USA)","02 MAY 1992","1092","1992"
"3201","10.1h","","Leonid SAFRONNIKOV","28 OCT 1971","BLR","1","Staiki (BLR)","12 MAY 1992","1092","1992"
"3268","10.34","+0.2","Eric CLEMONS","25 JUL 1971","USA","2","San Angelo, TX (USA)","30 MAY 1992","1092","1992"
"3268","10.34","","Driss BENSADDOU","01 DEC 1967","MAR","1","Casablanca (MAR)","02 JUL 1992","1092","1992"
"3268","10.34","+1.1","Franz RATZENBERGER","30 MAR 1965","AUT","3f2","Linz (AUT)","13 AUG 1992","1092","1992"
"3204","10.1h","","Clyde RUDOLPH","15 FEB 1972","USA","1","Richmond, VA (USA)","27 MAR 1993","1092","1993"
"3269","10.34","+1.4","Sheddric FIELDS","13 APR 1973","USA","1","Los Angeles, CA (USA)","10 APR 1993","1092","1993"
"3205","10.1h","","Aaron PAYNE","16 MAY 1971","USA","1","Oxford, OH (USA)","17 APR 1993","1092","1993"
"3270","10.34","","Ray NELSON","20 DEC 1971","JAM","1","Flagstaff, AZ (USA)","08 MAY 1993","1092","1993"
"3206","10.1h","","Igor LEVITOV","1966","RUS","1","Abakan (RUS)","29 MAY 1993","1092","1993"
"3271","10.34","","Nigel STODDART","19 JUL 1966","JAM","1","Albany, NY (USA)","24 JUL 1993","1092","1993"
"3271","10.34","+1.8","Nelson BOATENG","14 MAY 1968","GHA","1h3","Luxembourg (LUX)","30 JUL 1993","1092","1993"
"3208","10.1h","+1.3","Bryan SKINNER","04 MAR 1973","AUS","1","Brisbane (AUS)","08 OCT 1993","1092","1993"
"3272","10.34","+1.7","Saad Muftah MUBARAK AL KUWARI","28 MAR 1964","QAT","2","Doha (QAT)","06 APR 1994","1092","1994"
"3209","10.1h","","Shavkat SHAPIROV","29 FEB 1972","UZB","2","Tashkent (UZB)","05 MAY 1994","1092","1994"
"3273","10.34","","Sylvester OMODIALE","05 SEP 1977","NGR","2","Benin City (NGR)","28 MAY 1994","1092","1994"
"3273","10.34","-2.3","Laurent LECONTE","03 MAR 1968","FRA","3","Genève (SUI)","19 JUN 1994","1105","1994"
"3273","10.34","+0.9","Lars HEDNER","27 MAY 1967","SWE","2","Göteborg (SWE)","29 JUL 1994","1092","1994"
"3212","10.1h","+1.2","Pavel KONDRATYENKO","1968","RUS","1","Bryansk (RUS)","06 AUG 1994","1092","1994"
"3212","10.1h","","Alvin DANIEL","30 JUN 1968","TTO","1","Port-of-Spain (TTO)","13 MAY 1995","1092","1995"
"3212","10.1h","","Boyd KENNEDY","10 MAY 1965","TTO","2","Port-of-Spain (TTO)","13 MAY 1995","1092","1995"
"3212","10.1h","+1.5","Dmitriy KUCHUB","14 JUL 1974","RUS","1","Yekaterinburg (RUS)","27 MAY 1995","1092","1995"
"3277","10.34","+0.4","Sébastien CARRAT","20 MAY 1974","FRA","1","Basel (SUI)","10 JUN 1995","1092","1995"
"3213","10.1h","","Garfield GILL","17 APR 1971","BAR","1","Bridgetown (BAR)","30 JUN 1995","1092","1995"
"3213","10.1h","","Mohamed KANDOUSSI","06 JAN 1968","MAR","1","Meknés (MAR)","02 JUL 1995","1092","1995"
"3213","10.1h","","Benjamin SIRIMOU","29 MAY 1969","CMR","1","Yaoundé (CMR)","24 AUG 1995","1092","1995"
"3213","10.1h","+1.0","David TOMLIN","25 MAY 1977","CAN","1","Santiago de Chile (CHI)","01 SEP 1995","1092","1995"
"3281","10.34","+1.5","Jason HENDRIX","24 OCT 1972","USA","h","Fresno, CA (USA)","13 APR 1996","1092","1996"
"3281","10.34","+0.5","Dontra BOYKINS","19 APR 1974","USA","1","Riverside, CA (USA)","23 MAY 1996","1092","1996"
"3281","10.34","+1.6","Jörg DEERBERG","01 FEB 1971","GER","3f2","Estadio de la Comunidad, Madrid (ESP)","01 JUN 1996","1092","1996"
"3281","10.34","+1.0","Luís CUNHA","05 DEC 1964","POR","2","Maia (POR)","15 JUN 1996","1092","1996"
"3281","10.34","+1.2","Ahmed DOUHOU","14 DEC 1976","CIV","4sf","Evry-Bondoufle (FRA)","22 JUN 1996","1092","1996"
"3281","10.34","+1.0","Martin BRIŇARSKÝ","23 JAN 1976","SVK","1","Ostrava (CZE)","22 JUN 1996","1092","1996"
"3281","10.34","+1.9","Ryo SUZUKI","05 OCT 1976","JPN","1","Shizuoka (JPN)","13 JUL 1996","1092","1996"
"3281","10.34","0.0","Alex MENAL","09 AUG 1972","FRA","1","La Chaux-de-Fonds (SUI)","18 AUG 1996","1092","1996"
"3221","10.1h","+1.4","Vyacheslav SHABAKIN","1973","RUS","1","Sochi (RUS)","11 SEP 1996","1092","1996"
"3282","10.34","0.0","Luis DIOKE","1978","NGR","h","Benin City (NGR)","21 MAR 1997","1092","1997"
"3282","10.34","+1.2","Kevin WILLIAMS","15 DEC 1971","GBR","h","Barcelona (ESP)","11 JUN 1997","1092","1997"
"3223","10.1h","-0.5","Moses MILA MAYAT","1974","UGA","3","Pietersburg (RSA)","11 MAR 1998","1095","1998"
"3223","10.1h","0.0","Craig FIRST","","USA","1","South Bend, IN (USA)","04 APR 1998","1092","1998"
"3223","10.1h","0.0","Levente SOOS","17 JUL 1977","ROU","1","Cluj-Napoca (ROU)","17 MAY 1998","1092","1998"
"3285","10.34","+1.4","Georgios SKENDER","09 MAY 1978","CYP","8","Chania (GRE)","27 MAY 1998","1092","1998"
"3285","10.34","0.0","Clarkson REID","20 JAN 1975","JAM","2","Kingston (JAM)","27 JUN 1998","1092","1998"
"3285","10.34","+1.8","Alessandro MELI","13 APR 1971","ITA","1","Reggio Calabria (ITA)","26 JUL 1998","1092","1998"
"3285","10.34","+1.3","Felix ANDAM","26 NOV 1974","GHA","2","Lappeenranta (FIN)","02 AUG 1998","1092","1998"
"3227","10.1h","0.0","Jerome BRAZIEL","27 OCT 1980","USA","1","Fort Worth, TX (USA)","06 MAR 1999","1092","1999"
"3227","10.1h","0.0","L'Eron GEORGE","27 MAR 1981","USA","1","Wilmer, TX (USA)","06 MAR 1999","1092","1999"
"3287","10.34","0.0","Dion MILLER","26 FEB 1975","USA","1","Lubbock, TX (USA)","28 MAR 1999","1092","1999"
"3228","10.1h","0.0","Casey COMBEST","15 SEP 1980","USA","1","Mobile, AL (USA)","03 APR 1999","1092","1999"
"3288","10.34","+1.8","Warren ROGERS","10 OCT 1981","USA","h","Sacramento, CA (USA)","04 JUN 1999","1092","1999"
"3288","10.34","+1.7","Vincent CAURE","03 OCT 1978","FRA","h","Niort (FRA)","30 JUL 1999","1092","1999"
"3230","10.1h","0.0","Pascal DANGBO","13 APR 1972","BEN","h","Bamako (MLI)","06 AUG 1999","1092","1999"
"3289","10.34","0.0","Jon UNDERHILL","","USA","h","Troy, AL (USA)","21 APR 2000","1092","2000"
"3231","10.1h","0.0","Chad MILLER","","USA","1","Natchitoches, LA (USA)","28 APR 2000","1092","2000"
"3231","10.1h","+1.9","Slobodan SPASIĆ","16 MAY 1977","YUG","1","Kragujevac (SRB)","14 MAY 2000","1092","2000"
"3231","10.1h","0.0","Moumi SEBERGUE","07 DEC 1977","CHA","2","Yaoundé (CMR)","27 MAY 2000","1092","2000"
"3292","10.34","+0.5","Donovan HOUSEN","07 NOV 1974","JAM","3","Nassau (BAH)","09 JUN 2000","1092","2000"
"3232","10.1h","-0.1","Andres MARTÍNEZ","10 JUN 1978","ESP","1","Alicante (ESP)","22 JUL 2000","1092","2000"
"3232","10.1h","","Josef VAN DER LINDE","08 APR 1979","RSA","1","Secunda (RSA)","04 OCT 2000","1092","2000"
"3232","10.1h","","Tan Kok LIM","08 JAN 1978","MAS","1","Penang (MAS)","16 JUN 2001","1092","2001"
"3232","10.1h","+1.2","Nico GRIMBEEK","11 FEB 1982","RSA","1","Pretoria (RSA)","03 NOV 2001","1092","2001"
"3296","10.34","+1.0","Ahmad CARROLL","14 AUG 1983","USA","3","Starkville, MS (USA)","16 MAR 2002","1092","2002"
"3233","10.1h","","Andre BLACKMAN","03 NOV 1980","GUY","1","Georgetown (GUY)","24 MAR 2002","1092","2002"
"3233","10.1h","","Dwayne FOSTER","18 NOV 1977","JAM","1","Ogden, UT (USA)","13 APR 2002","1092","2002"
"3298","10.34","0.0","Ruddy ZAMI","18 FEB 1977","FRA","5","Bordeaux (FRA)","12 JUN 2002","1092","2002"
"3298","10.34","0.0","Moustapha DIARRA","21 JUL 1970","SEN","6","Bordeaux (FRA)","12 JUN 2002","1092","2002"
"3298","10.34","+0.4","Orkatz BEITIA","18 APR 1979","ESP","1","Salamanca (ESP)","20 JUL 2002","1092","2002"
"3298","10.34","-0.2","Kendrick TRIGGS","27 AUG 1982","USA","1","Oxford (GBR)","19 APR 2003","1093","2003"
"3298","10.34","+1.1","Marko JANKOVIĆ","29 FEB 1976","SCG","1","Kragujevac (SRB)","13 JUN 2003","1092","2003"
"3238","10.1h","","Sylvester WILLIAMSON","12 NOV 1977","JAM","1","Kirkvine (JAM)","17 JAN 2004","1092","2004"
"3238","10.1h","","Decosma WRIGHT","01 SEP 1982","JAM","3","Kirkvine (JAM)","17 JAN 2004","1092","2004"
"3238","10.1h","","Maqhawe MASEKO","22 DEC 1971","SWZ","1","Somholo (SWZ)","06 MAR 2004","1092","2004"
"3238","10.1h","","Ryan JAMES","10 OCT 1979","JAM","1h3","Spanish Town (JAM)","03 APR 2004","1092","2004"
"3238","10.1h","","Alex SHIBURI","","RSA","1","Maseru (RSA)","07 MAY 2004","1092","2004"
"3303","10.34","+1.9","Jiří VOJTÍK","02 JUL 1981","CZE","1","Kladno (CZE)","22 MAY 2004","1092","2004"
"3303","10.34","","Carl CRAWFORD","","USA","1","Sacramento, CA (USA)","27 MAY 2004","1092","2004"
"3303","10.34","+1.5","Kenny O'NEAL","05 FEB 1986","USA","1h2","Sacramento, CA (USA)","04 JUN 2004","1092","2004"
"3303","10.34","+1.2","Takashi MOGI","28 DEC 1982","JPN","1h6","Tokyo (JPN)","02 JUL 2004","1092","2004"
"3303","10.34","-0.8","Mohamed Sanad AL RASHEEDI","02 DEC 1986","BRN","1","Damascus (SYR)","11 SEP 2004","1096","2004"
"3243","10.1h","","Cannon MCWILLIAMS","","USA","1","Wink, TX (USA)","08 APR 2005","1092","2005"
"3304","10.34","+0.3","Juma Mubarak AL JABRI","09 MAY 1985","OMA","2h1","La Mecque (KSA)","12 APR 2005","1092","2005"
"3244","10.1h","","Micah GRANT","","USA","1","Wink, TX (USA)","15 APR 2005","1092","2005"
"3305","10.34","+1.9","Johann JACK","03 JUN 1975","TTO","2","Walnut, CA (USA)","17 APR 2005","1092","2005"
"3245","10.1h","","Paul CHANEY","22 JUN 1987","USA","1","St. Louis (USA)","30 APR 2005","1092","2005"
"3245","10.1h","","Haile GELALCHA TAFA","1984","ETH","1","Addis Abeba (ETH)","04 MAY 2005","1092","2005"
"3245","10.1h","","Nagmeldin Ali ABUBAKR","22 FEB 1986","SUD","2","Addis Abeba (ETH)","04 MAY 2005","1092","2005"
"3308","10.34","+1.8","Oliver WILLIAMS","10 MAY 1984","USA","1","Lincoln, NE (USA)","07 MAY 2005","1092","2005"
"3246","10.1h","","JR ROGERS","23 AUG 1986","USA","1","Apex, NC (USA)","14 MAY 2005","1092","2005"
"3309","10.34","+1.5","Van-Tonio FRALEY","20 JAN 1980","USA","3","New Orleans, LA (USA)","15 MAY 2005","1092","2005"
"3247","10.1h","","Clinton ALLEN","08 SEP 1989","USA","1","Comstock Park, MI (USA)","20 MAY 2005","1092","2005"
"3247","10.1h","","John BEALS","","USA","1","Dolton, IL (USA)","20 MAY 2005","1092","2005"
"3247","10.1h","","Sergio MULLINS","12 MAY 1980","RSA","1","Cape Town (RSA)","11 OCT 2005","1092","2005"
"3247","10.1h","+0.3","Peter UMEHBU","","NGR","2qf1","Abuja (NGR)","09 FEB 2006","1092","2006"
"3247","10.1h","0.0","Dale PIERRE","","TTO","1","Pointe-a-Pierre (TTO)","01 APR 2006","1092","2006"
"3314","10.34","","Dominique STAFFORD","29 JUL 1987","USA","2","Arlington, TX (USA)","01 APR 2006","1092","2006"
"3248","10.1h","","Rawle GREENE","11 DEC 1976","GUY","1","Georgetown (GUY)","23 APR 2006","1092","2006"
"3315","10.34","+1.7","Satoshi IKENOYA","10 SEP 1980","JPN","2h1","Hiroshima (JPN)","29 APR 2006","1092","2006"
"3315","10.34","0.0","Sunday ADEJOR","","NGR","1f2","Abuja (NGR)","06 MAY 2006","1092","2006"
"3315","10.34","+1.2","Richard DEL RINCON","","USA","1h1","Eugene, OR (USA)","13 MAY 2006","1092","2006"
"3315","10.34","+1.9","Jimmy MELFORT","28 DEC 1978","FRA","4","Regensburg (GER)","17 JUN 2006","1092","2006"
"3252","10.1h","","Jamil BENJAMIN","","USA","1","Huntigton (USA)","05 MAY 2007","1092","2007"
"3252","10.1h","","Teddy POOLE","1986","USA","1","Huntigton (USA)","05 MAY 2007","1092","2007"
"3252","10.1h","","Corey LENARIS","","USA","1","Alamaosa (USA)","06 MAY 2007","1092","2007"
"3252","10.1h","","Mike SMITH","27 JAN 1985","USA","2","Alamaosa (USA)","06 MAY 2007","1092","2007"
"3319","10.34","+1.0","D.J. SMITH","","USA","2","Fresno, CA (USA)","12 MAY 2007","1092","2007"
"3319","10.34","","Yanan XING","17 JUN 1983","CHN","2","Beijing (CHN)","20 MAY 2007","1092","2007"
"3319","10.34","+1.7","Orion NICELY","28 FEB 1984","JAM","2","Fresno, CA (USA)","25 MAY 2007","1092","2007"
"3319","10.34","+1.0","Jarkko RUOSTEKIVI","05 APR 1985","FIN","1h2","Tampere (FIN)","20 JUN 2007","1092","2007"
"3319","10.34","+2.0","Daniel ADOLIA","12 SEP 1982","FRA","1h1","Niort (FRA)","03 AUG 2007","1092","2007"
"3257","10.1h","+0.9","Daniel BURGESS","18 MAR 1985","AUS","1h2","Melbourne (AUS)","08 DEC 2007","1092","2007"
"3320","10.34","+1.9","Idriss Khalid ZOUGARI","24 JAN 1988","MAR","1","Meknés (MAR)","20 MAR 2008","1092","2008"
"3320","10.34","+1.7","Dominique WORSELY","20 FEB 1987","USA","1","Champaign, IL (USA)","30 APR 2008","1092","2008"
"3320","10.34","+1.3","Daniel SCHNELTING","09 MAR 1986","GER","4","Bottrop (GER)","30 AUG 2008","1092","2008"
"3320","10.34","+0.2","Yin HUALONG","22 AUG 1987","CHN","1","Luohe (CHN)","12 SEP 2008","1092","2008"
"3261","10.1h","","Gustavo MONTALVO","20 NOV 1982","VEN","1","Caracas (VEN)","20 MAR 2009","1092","2009"
"3321","10.34","+1.8","Rachaunn RUFFIN","17 MAY 1990","USA","1","Towson, MD (USA)","18 APR 2009","1092","2009"
"3262","10.1h","","Jhonny CAMACHO","1991","VEN","1h1","Caracas (VEN)","19 JUN 2009","1092","2009"
"3322","10.34","+1.8","Yusuke NII","16 APR 1984","JPN","2h1","Hiroshima (JPN)","27 JUN 2009","1092","2009"
"3322","10.34","+1.7","Roberto DONATI","15 MAR 1983","ITA","2h1","Rieti (ITA)","21 JUL 2009","1092","2009"
"3322","10.34","+0.2","Wilfried BINGANGOYE","25 MAR 1985","GAB","1f2","Castres (FRA)","05 AUG 2009","1092","2009"
"3265","10.1h","","Arturo RAMÍREZ","19 APR 1991","VEN","1h1","Caracas (VEN)","26 FEB 2010","1092","2010"
"3265","10.1h","","Innocent BOLOGO","05 SEP 1989","BUR","1","Niamey (NIG)","15 MAY 2010","1092","2010"
"3324","10.34","+0.3","Antonio MCLEOD","03 DEC 1988","USA","4h1","Greensboro, NC (USA)","27 MAY 2010","1092","2010"
"3324","10.34","+0.1","Michael DEHAVEN","16 MAY 1989","USA","4f2","Greensboro, NC (USA)","28 MAY 2010","1092","2010"
